Year,Quarter,Ticker,CIKs,CompanyName,InterestRateChange,SPXCloseChange,DJCloseChange,CPI,RealGDP,InflationRate,DilutedEPS,FreeCashFlow,NetIncome,OperatingCashFlow,TotalRevenue,Polarity,Subjectivity,ClosePriceNextQuarter,YearNext,QuarterNext,LogClosePriceNextQuarter,LogPredictedPrice
2003,Q1,AAPL,320193,Apple Inc.,0.1896551724137931,-0.066939485,-0.071494461,19.9,3582.77,2.27,0.001,58000000.0,14000000,98000000.0,1475000000.0,0.065804117,0.3650917841165279,0.3403570055961609,2003,Q2,-1.0777601957943261,-0.3767555692598039
2003,Q2,AAPL,320193,Apple Inc.,0.1240310077519379,0.1351458391575808,0.1134567390264516,19.9,3680.93,2.27,0.001,-38000000.0,19000000,8000000.0,1545000000.0,0.065804117,0.3650917841165279,0.3700000047683716,2003,Q3,-0.9942522604563763,-0.029967879195423208
2003,Q3,AAPL,320193,Apple Inc.,0.054054054,0.013895675543611,0.025894403,19.9,3753.43,2.27,0.002,15000000.0,44000000,73000000.0,1715000000.0,0.067286167,0.3746745783846957,0.3816069960594177,2003,Q4,-0.9633640060870218,-0.14968152552788627
2003,Q4,AAPL,320193,Apple Inc.,-0.153153153,0.092023335,0.1039918894943605,19.9,3860.18,2.27,0.003,175000000.0,63000000,219000000.0,2006000000.0,0.067286167,0.3746745783846957,0.4828569889068603,2004,Q1,-0.7280347583923829,0.27566549008851027
2004,Q1,AAPL,320193,Apple Inc.,0.1170212765957448,0.0128516440031656,-0.009204203,19.9,3741.64,2.68,0.002,26000000.0,46000000,61000000.0,1909000000.0,0.061598974,0.3606057377140669,0.5810710191726685,2004,Q2,-0.5428822935029127,-0.1033656721955305
2004,Q2,AAPL,320193,Apple Inc.,0.3398058252427183,0.007657861,0.005991326,19.9,3837.59,2.68,0.003,173000000.0,61000000,211000000.0,2014000000.0,0.060741187,0.3569255845292247,0.6919639706611633,2004,Q3,-0.3682213902384737,0.1480339617924895
2004,Q3,AAPL,320193,Apple Inc.,0.3857142857142858,-0.012719897,-0.024568035,19.9,3879.62,2.68,0.008,384000000.0,106000000,443000000.0,2350000000.0,0.061283762,0.3640702489153484,1.149999976158142,2004,Q4,0.13976192164310813,0.23826971731536295
2004,Q4,AAPL,320193,Apple Inc.,0.0591397849462364,0.071073796,0.057920168,19.9,3990.91,2.68,0.013,717000000.0,295000000,775000000.0,3490000000.0,0.061283762,0.3640702489153484,1.4882140159606934,2005,Q1,0.3975767539992285,0.5801397256112346
2005,Q1,AAPL,320193,Apple Inc.,0.5025380710659898,-0.025851541,-0.025897222,19.9,3867.08,3.39,0.012,493000000.0,290000000,536000000.0,3243000000.0,0.06411701,0.3669246707619514,1.3146430253982544,2005,Q2,0.2735651652013499,0.24453350829987563
2005,Q2,AAPL,320193,Apple Inc.,0.1837455830388692,0.0156958701360705,-0.012430437,19.9,3972.82,3.39,0.013,409000000.0,319000000,472000000.0,3520000000.0,0.052719986,0.3727608974287131,1.9146430492401123,2005,Q3,0.6495312079948314,0.5494492275247711
2005,Q3,AAPL,320193,Apple Inc.,0.1696428571428572,0.0287749907906633,0.0257447997950199,19.9,4040.69,3.39,0.018,656000000.0,430000000,752000000.0,3678000000.0,0.06058902,0.3576957036265541,2.567500114440918,2005,Q4,0.9429327073934741,0.7225124678823907
